Date,State,Total Confirmed Cases,Cured/Discharged/Migrated,Death
29-04-2020,Mizoram,1,0,0
29-04-2020,Arunachal Pradesh,1,1,0
30-04-2020,Maharashtra,9915,1593,432
30-04-2020,Gujarat,4082,527,197
30-04-2020,Delhi,3439,1092,56
30-04-2020,Madhya Pradesh,2660,461,130
30-04-2020,Rajasthan,2438,768,51
30-04-2020,Uttar Pradesh,2203,513,39
30-04-2020,Tamil Nadu,2162,1210,27
30-04-2020,Andhra Pradesh,1403,321,31
30-04-2020,Telangana,1012,367,26
30-04-2020,West Bengal,758,124,22
30-04-2020,Jammu and Kashmir,581,192,8
30-04-2020,Karnataka,557,223,21
30-04-2020,Kerala,496,369,4
30-04-2020,Bihar,403,65,2
30-04-2020,Punjab,357,90,19
30-04-2020,Haryana,310,209,3
30-04-2020,Odisha,128,39,1
30-04-2020,Jharkhand,107,19,3
30-04-2020,Chandigarh,56,17,0
30-04-2020,Uttarakhand,55,36,0
30-04-2020,Assam,42,29,1
30-04-2020,Himachal Pradesh,40,25,1
30-04-2020,Chhattisgarh,38,36,0
30-04-2020,Andaman and Nicobar Islands,33,15,0
30-04-2020,Ladakh,22,16,0
30-04-2020,Meghalaya,12,0,1
30-04-2020,Puducherry,8,5,0
30-04-2020,Goa,7,7,0
30-04-2020,Manipur,2,2,0
30-04-2020,Tripura,2,2,0
30-04-2020,Mizoram,1,0,0
30-04-2020,Arunachal Pradesh,1,1,0
01-05-2020,Maharashtra,10498,1773,459
01-05-2020,Gujarat,4395,613,214
01-05-2020,Delhi,3515,1094,59
01-05-2020,Madhya Pradesh,2719,482,137
01-05-2020,Rajasthan,2584,836,58
01-05-2020,Tamil Nadu,2323,1258,27
01-05-2020,Uttar Pradesh,2281,555,41
01-05-2020,Andhra Pradesh,1463,403,33
01-05-2020,Telangana,1039,441,26
01-05-2020,West Bengal,795,139,33
01-05-2020,Jammu and Kashmir,614,216,8
01-05-2020,Karnataka,576,235,22
01-05-2020,Kerala,497,383,4
01-05-2020,Bihar,426,82,2
01-05-2020,Punjab,357,90,19
01-05-2020,Haryana,313,209,3
01-05-2020,Odisha,143,41,1
01-05-2020,Jharkhand,111,20,3
01-05-2020,Uttarakhand,57,36,0
01-05-2020,Chandigarh,56,17,0
01-05-2020,Assam,42,29,1
01-05-2020,Chhattisgarh,40,36,0
01-05-2020,Himachal Pradesh,40,28,1
01-05-2020,Andaman and Nicobar Islands,33,16,0
01-05-2020,Ladakh,22,16,0
01-05-2020,Meghalaya,12,0,1
01-05-2020,Puducherry,8,5,0
01-05-2020,Goa,7,7,0
01-05-2020,Manipur,2,2,0
01-05-2020,Tripura,2,2,0
01-05-2020,Mizoram,1,0,0
01-05-2020,Arunachal Pradesh,1,1,0
02-05-2020,Maharashtra,11506,1879,485
02-05-2020,Gujarat,4721,735,236
02-05-2020,Delhi,3738,1167,61
02-05-2020,Madhya Pradesh,2719,524,145
02-05-2020,Rajasthan,2666,1116,62
02-05-2020,Tamil Nadu,2526,1312,28
02-05-2020,Uttar Pradesh,2455,656,43
02-05-2020,Andhra Pradesh,1525,441,33
02-05-2020,Telangana,1057,441,26
02-05-2020,West Bengal,795,139,33
02-05-2020,Punjab,772,112,20
02-05-2020,Jammu and Kashmir,639,247,8
02-05-2020,Karnataka,598,255,25
02-05-2020,Kerala,498,392,4
02-05-2020,Bihar,471,98,3
02-05-2020,Haryana,360,227,4
02-05-2020,Odisha,154,55,1
02-05-2020,Jharkhand,111,20,3
02-05-2020,Chandigarh,88,17,0
02-05-2020,Uttarakhand,58,37,0
02-05-2020,Chhattisgarh,43,36,0
02-05-2020,Assam,43,32,1
02-05-2020,Himachal Pradesh,40,30,1
02-05-2020,Andaman and Nicobar Islands,33,16,0
02-05-2020,Ladakh,22,17,0
02-05-2020,Meghalaya,12,0,1
02-05-2020,Puducherry,8,5,0
02-05-2020,Goa,7,7,0
02-05-2020,Manipur,2,2,0
02-05-2020,Tripura,2,2,0
02-05-2020,Mizoram,1,0,0
02-05-2020,Arunachal Pradesh,1,1,0
03-05-2020,Maharashtra,12296,2000,521
03-05-2020,Gujarat,5055,896,262
03-05-2020,Delhi,4122,1256,64
03-05-2020,Madhya Pradesh,2846,798,156
03-05-2020,Rajasthan,2772,1121,65
03-05-2020,Tamil Nadu,2757,1341,29
03-05-2020,Uttar Pradesh,2626,698,43
03-05-2020,Andhra Pradesh,1583,488,33
03-05-2020,Telangana,1063,458,28
03-05-2020,West Bengal,922,151,33
03-05-2020,Punjab,772,112,20
03-05-2020,Jammu and Kashmir,666,254,8
03-05-2020,Karnataka,606,282,25
03-05-2020,Kerala,500,400,4
03-05-2020,Bihar,482,117,4
03-05-2020,Haryana,394,227,4
03-05-2020,Odisha,160,56,1
03-05-2020,Jharkhand,115,22,3
03-05-2020,Chandigarh,94,19,0
03-05-2020,Uttarakhand,59,39,0
03-05-2020,Chhattisgarh,43,36,0
03-05-2020,Assam,43,32,1
03-05-2020,Ladakh,40,17,0
03-05-2020,Himachal Pradesh,40,33,1
03-05-2020,Andaman and Nicobar Islands,33,17,0
03-05-2020,Meghalaya,12,0,1
03-05-2020,Puducherry,8,5,0
03-05-2020,Goa,7,7,0
03-05-2020,Tripura,4,2,0
03-05-2020,Manipur,2,2,0
03-05-2020,Mizoram,1,0,0
03-05-2020,Arunachal Pradesh,1,1,0
04-05-2020,Maharashtra,12974,2115,548
04-05-2020,Gujarat,5428,1042,290
04-05-2020,Delhi,4549,1362,64
04-05-2020,Tamil Nadu,3023,1379,30
04-05-2020,Madhya Pradesh,2942,798,165
04-05-2020,Rajasthan,2886,1356,71
04-05-2020,Uttar Pradesh,2742,758,45
04-05-2020,Andhra Pradesh,1650,524,36
04-05-2020,Punjab,1102,117,21
04-05-2020,Telangana,1082,490,29
04-05-2020,West Bengal,963,151,35
04-05-2020,Jammu and Kashmir,701,287,8
04-05-2020,Karnataka,642,304,26
04-05-2020,Bihar,517,125,4
04-05-2020,Kerala,500,401,4
04-05-2020,Haryana,442,245,5
04-05-2020,Odisha,163,60,1
04-05-2020,Jharkhand,115,22,3
04-05-2020,Chandigarh,94,19,0
04-05-2020,Uttarakhand,60,39,1
04-05-2020,Chhattisgarh,57,36,0
04-05-2020,Assam,43,32,1
04-05-2020,Ladakh,41,17,0
04-05-2020,Himachal Pradesh,40,34,1
04-05-2020,Andaman and Nicobar Islands,33,32,0
04-05-2020,Tripura,16,2,0
04-05-2020,Meghalaya,12,0,1
04-05-2020,Puducherry,8,5,0
04-05-2020,Goa,7,7,0
04-05-2020,Manipur,2,2,0
04-05-2020,Mizoram,1,0,0
04-05-2020,Arunachal Pradesh,1,1,0
05-05-2020,Maharashtra,14541,2465,583
05-05-2020,Gujarat,5804,1195,319
05-05-2020,Delhi,4898,1431,64
05-05-2020,Tamil Nadu,3550,1409,31
05-05-2020,Rajasthan,3061,1394,77
05-05-2020,Madhya Pradesh,3049,1000,176
05-05-2020,Uttar Pradesh,2859,944,53
05-05-2020,Andhra Pradesh,1717,589,36
05-05-2020,West Bengal,1259,218,133
05-05-2020,Punjab,1233,128,23
05-05-2020,Telangana,1085,585,29
05-05-2020,Jammu and Kashmir,726,303,8
05-05-2020,Karnataka,659,324,28
05-05-2020,Bihar,529,130,4
05-05-2020,Haryana,517,254,6
05-05-2020,Kerala,500,462,4
05-05-2020,Odisha,170,60,1
05-05-2020,Jharkhand,115,27,3
05-05-2020,Chandigarh,102,21,1
05-05-2020,Uttarakhand,60,39,1
05-05-2020,Chhattisgarh,58,36,0
05-05-2020,Assam,43,32,1
05-05-2020,Ladakh,41,17,0
05-05-2020,Himachal Pradesh,41,38,1
05-05-2020,Andaman and Nicobar Islands,33,32,0
05-05-2020,Tripura,29,2,0
05-05-2020,Meghalaya,12,10,1
05-05-2020,Puducherry,9,6,0
05-05-2020,Goa,7,7,0
05-05-2020,Manipur,2,2,0
05-05-2020,Mizoram,1,0,0
05-05-2020,Arunachal Pradesh,1,1,0
06-05-2020,Maharashtra,15525,2819,617
06-05-2020,Gujarat,6245,1381,368
06-05-2020,Delhi,5104,1468,64
06-05-2020,Tamil Nadu,4058,1485,33
06-05-2020,Rajasthan,3158,1525,89
06-05-2020,Madhya Pradesh,3049,1000,176
06-05-2020,Uttar Pradesh,2880,987,56
06-05-2020,Andhra Pradesh,1717,589,36
06-05-2020,Punjab,1451,133,25
06-05-2020,West Bengal,1344,364,140
06-05-2020,Telangana,1096,585,29
06-05-2020,Jammu and Kashmir,741,320,8
06-05-2020,Karnataka,671,331,29
06-05-2020,Haryana,548,256,6
06-05-2020,Bihar,536,142,4
06-05-2020,Kerala,502,462,4
06-05-2020,Odisha,175,60,1
06-05-2020,Jharkhand,125,33,3
06-05-2020,Chandigarh,111,21,1
06-05-2020,Uttarakhand,61,39,1
06-05-2020,Chhattisgarh,59,36,0
06-05-2020,Tripura,43,2,0
06-05-2020,Assam,43,32,1
06-05-2020,Himachal Pradesh,42,38,2
06-05-2020,Ladakh,41,17,0
06-05-2020,Andaman and Nicobar Islands,33,32,0
06-05-2020,Meghalaya,12,10,1
06-05-2020,Puducherry,9,6,0
06-05-2020,Goa,7,7,0
06-05-2020,Manipur,2,2,0
06-05-2020,Dadar Nagar Haveli,1,0,0
06-05-2020,Mizoram,1,0,0
06-05-2020,Arunachal Pradesh,1,1,0
07-05-2020,Maharashtra,16758,3094,651
07-05-2020,Gujarat,6625,1500,396
07-05-2020,Delhi,5532,1542,65
07-05-2020,Tamil Nadu,4829,1516,35
07-05-2020,Rajasthan,3317,1596,92
07-05-2020,Madhya Pradesh,3138,1099,185
07-05-2020,Uttar Pradesh,2998,1130,60
07-05-2020,Andhra Pradesh,1777,729,36
07-05-2020,Punjab,1516,135,27
07-05-2020,West Bengal,1456,364,144
07-05-2020,Telangana,1107,628,29
07-05-2020,Jammu and Kashmir,775,322,8
07-05-2020,Karnataka,693,354,29
07-05-2020,Haryana,594,260,7
07-05-2020,Bihar,542,188,4
07-05-2020,Kerala,503,469,4
07-05-2020,Odisha,185,61,2
07-05-2020,Jharkhand,127,37,3
07-05-2020,Chandigarh,120,21,1
07-05-2020,Uttarakhand,61,39,1
07-05-2020,Chhattisgarh,59,36,0
07-05-2020,Himachal Pradesh,45,38,2
07-05-2020,Assam,45,32,1
07-05-2020,Tripura,43,2,0
07-05-2020,Ladakh,41,17,0
07-05-2020,Andaman and Nicobar Islands,33,32,0
07-05-2020,Meghalaya,12,10,1
07-05-2020,Puducherry,9,6,0
07-05-2020,Goa,7,7,0
07-05-2020,Manipur,2,2,0
07-05-2020,Dadar Nagar Haveli,1,0,0
07-05-2020,Mizoram,1,0,0
07-05-2020,Arunachal Pradesh,1,1,0
08-05-2020,Maharashtra,17974,3301,694
08-05-2020,Gujarat,7012,1709,425
08-05-2020,Delhi,5980,1931,66
08-05-2020,Tamil Nadu,5409,1547,37
08-05-2020,Rajasthan,3427,1596,97
08-05-2020,Madhya Pradesh,3252,1231,193
08-05-2020,Uttar Pradesh,3071,1250,62
08-05-2020,Andhra Pradesh,1847,780,38
08-05-2020,Punjab,1644,149,28
08-05-2020,West Bengal,1548,364,151
08-05-2020,Telangana,1123,650,29
08-05-2020,Jammu and Kashmir,793,335,9
08-05-2020,Karnataka,705,366,30
08-05-2020,Haryana,625,260,7
08-05-2020,Bihar,550,246,5
08-05-2020,Kerala,503,474,4
08-05-2020,Odisha,219,62,2
08-05-2020,Chandigarh,135,21,1
08-05-2020,Jharkhand,132,41,3
08-05-2020,Tripura,65,2,0
08-05-2020,Uttarakhand,61,39,1
08-05-2020,Chhattisgarh,59,38,0
08-05-2020,Assam,54,34,1
08-05-2020,Himachal Pradesh,46,38,2
08-05-2020,Ladakh,42,17,0
08-05-2020,Andaman and Nicobar Islands,33,33,0
08-05-2020,Meghalaya,12,10,1
08-05-2020,Puducherry,9,6,0
08-05-2020,Goa,7,7,0
08-05-2020,Manipur,2,2,0
08-05-2020,Dadar Nagar Haveli,1,0,0
08-05-2020,Mizoram,1,0,0
08-05-2020,Arunachal Pradesh,1,1,0
09-05-2020,Maharashtra,19063,3470,731
09-05-2020,Gujarat,7402,1872,449
09-05-2020,Delhi,6318,2020,68
09-05-2020,Tamil Nadu,6009,1605,40
09-05-2020,Rajasthan,3579,1916,101
09-05-2020,Madhya Pradesh,3341,1349,200
09-05-2020,Uttar Pradesh,3214,1387,66
09-05-2020,Andhra Pradesh,1887,842,41
09-05-2020,Punjab,1731,152,29
09-05-2020,West Bengal,1678,364,160
09-05-2020,Telangana,1133,700,29
09-05-2020,Jammu and Kashmir,823,364,9
09-05-2020,Karnataka,753,376,30
09-05-2020,Haryana,647,279,8
09-05-2020,Bihar,571,297,5
09-05-2020,Kerala,503,484,4
09-05-2020,Odisha,271,63,2
09-05-2020,Chandigarh,150,21,1
09-05-2020,Jharkhand,132,52,3
09-05-2020,Tripura,118,2,0
09-05-2020,Uttarakhand,63,46,1
09-05-2020,Chhattisgarh,59,38,0
09-05-2020,Assam,59,34,1
09-05-2020,Himachal Pradesh,50,38,2
09-05-2020,Ladakh,42,17,0
09-05-2020,Andaman and Nicobar Islands,33,33,0
09-05-2020,Meghalaya,12,10,1
09-05-2020,Puducherry,9,6,0
09-05-2020,Goa,7,7,0
09-05-2020,Manipur,2,2,0
09-05-2020,Dadar Nagar Haveli,1,0,0
09-05-2020,Mizoram,1,0,0
09-05-2020,Arunachal Pradesh,1,1,0
10-05-2020,Maharashtra,20228,3800,779
10-05-2020,Gujarat,7796,2091,472
10-05-2020,Delhi,6542,2020,73
10-05-2020,Tamil Nadu,6535,1824,44
10-05-2020,Rajasthan,3708,2026,106
10-05-2020,Madhya Pradesh,3614,1676,215
10-05-2020,Uttar Pradesh,3373,1499,74
10-05-2020,Andhra Pradesh,1930,887,44
10-05-2020,West Bengal,1786,372,171
10-05-2020,Punjab,1762,157,31
10-05-2020,Telangana,1163,750,30
10-05-2020,Jammu and Kashmir,836,368,9
10-05-2020,Karnataka,794,386,30
10-05-2020,Haryana,675,290,9
10-05-2020,Bihar,591,322,5
10-05-2020,Kerala,505,485,4
10-05-2020,Odisha,294,63,2
10-05-2020,Chandigarh,169,24,2
10-05-2020,Jharkhand,156,78,3
10-05-2020,Tripura,134,2,0
10-05-2020,Uttarakhand,67,46,1
10-05-2020,Assam,63,34,2
10-05-2020,Chhattisgarh,59,43,0
10-05-2020,Himachal Pradesh,50,38,2
10-05-2020,Ladakh,42,17,0
10-05-2020,Andaman and Nicobar Islands,33,33,0
10-05-2020,Meghalaya,13,10,1
10-05-2020,Puducherry,9,6,0
10-05-2020,Goa,7,7,0
10-05-2020,Manipur,2,2,0
10-05-2020,Dadar Nagar Haveli,1,0,0
10-05-2020,Mizoram,1,1,0
10-05-2020,Arunachal Pradesh,1,1,0
11-05-2020,Maharashtra,22171,4199,832
11-05-2020,Gujarat,8194,2545,493
11-05-2020,Tamil Nadu,7204,1959,47
11-05-2020,Delhi,6923,2069,73
11-05-2020,Rajasthan,3814,2176,107
11-05-2020,Madhya Pradesh,3614,1676,215
11-05-2020,Uttar Pradesh,3467,1653,74
11-05-2020,Andhra Pradesh,1980,925,45
11-05-2020,West Bengal,1939,417,185
11-05-2020,Punjab,1823,166,31
11-05-2020,Telangana,1196,750,30
11-05-2020,Jammu and Kashmir,861,383,9
11-05-2020,Karnataka,848,424,31
11-05-2020,Haryana,703,300,10
11-05-2020,Bihar,696,365,6
11-05-2020,Kerala,512,489,4
11-05-2020,Odisha,377,68,3
11-05-2020,Chandigarh,169,24,2
11-05-2020,Jharkhand,157,78,3
11-05-2020,Tripura,150,2,0
11-05-2020,Uttarakhand,68,46,1
11-05-2020,Assam,63,34,2
11-05-2020,Chhattisgarh,59,49,0
11-05-2020,Himachal Pradesh,55,39,2
11-05-2020,Ladakh,42,21,0
11-05-2020,Andaman and Nicobar Islands,33,33,0
11-05-2020,Meghalaya,13,10,1
11-05-2020,Puducherry,9,6,0
11-05-2020,Goa,7,7,0
11-05-2020,Manipur,2,2,0
11-05-2020,Dadar Nagar Haveli,1,0,0
11-05-2020,Mizoram,1,1,0
11-05-2020,Arunachal Pradesh,1,1,0
12-05-2020,Maharashtra,23401,4786,868
12-05-2020,Gujarat,8541,2780,513
12-05-2020,Tamil Nadu,8002,2051,53
12-05-2020,Delhi,7233,2129,73
12-05-2020,Rajasthan,3988,2264,113
12-05-2020,Madhya Pradesh,3785,1747,221
12-05-2020,Uttar Pradesh,3573,1758,80
12-05-2020,West Bengal,2063,499,190
12-05-2020,Andhra Pradesh,2018,975,45
12-05-2020,Punjab,1877,168,31
12-05-2020,Telangana,1275,800,30
12-05-2020,Jammu and Kashmir,879,427,10
12-05-2020,Karnataka,862,426,31
12-05-2020,Bihar,747,377,6
12-05-2020,Haryana,730,337,11
12-05-2020,Kerala,519,489,4
12-05-2020,Odisha,414,85,3
12-05-2020,Chandigarh,174,24,2
12-05-2020,Jharkhand,160,78,3
12-05-2020,Tripura,152,2,0
12-05-2020,Uttarakhand,68,46,1
12-05-2020,Assam,65,34,2
12-05-2020,Chhattisgarh,59,53,0
12-05-2020,Himachal Pradesh,59,39,2
12-05-2020,Ladakh,42,21,0
12-05-2020,Andaman and Nicobar Islands,33,33,0
12-05-2020,Meghalaya,13,10,1
12-05-2020,Puducherry,12,6,0
12-05-2020,Goa,7,7,0
12-05-2020,Manipur,2,2,0
12-05-2020,Dadar Nagar Haveli,1,0,0
12-05-2020,Mizoram,1,1,0
12-05-2020,Arunachal Pradesh,1,1,0
13-05-2020,Maharashtra,24427,5125,921
13-05-2020,Gujarat,8903,3246,537
13-05-2020,Tamil Nadu,8718,2134,61
13-05-2020,Delhi,7639,2512,86
13-05-2020,Rajasthan,4126,2378,117
13-05-2020,Madhya Pradesh,3986,1860,225
13-05-2020,Uttar Pradesh,3664,1873,82
13-05-2020,West Bengal,2173,612,198
13-05-2020,Andhra Pradesh,2090,1056,46
13-05-2020,Punjab,1914,171,32
13-05-2020,Telangana,1326,830,32
13-05-2020,Jammu and Kashmir,934,455,10
13-05-2020,Karnataka,925,433,31
13-05-2020,Bihar,831,383,6
13-05-2020,Haryana,780,342,11
13-05-2020,Kerala,524,489,4
13-05-2020,Odisha,437,116,3
13-05-2020,Chandigarh,187,28,3
13-05-2020,Jharkhand,172,79,3
13-05-2020,Tripura,154,2,0
13-05-2020,Uttarakhand,69,46,1
13-05-2020,Himachal Pradesh,65,39,2
13-05-2020,Assam,65,39,2
13-05-2020,Chhattisgarh,59,54,0
13-05-2020,Ladakh,42,21,0
13-05-2020,Andaman and Nicobar Islands,33,33,0
13-05-2020,Meghalaya,13,10,1
13-05-2020,Puducherry,13,9,1
13-05-2020,Goa,7,7,0
13-05-2020,Manipur,2,2,0
13-05-2020,Dadar Nagar Haveli,1,0,0
13-05-2020,Mizoram,1,1,0
13-05-2020,Arunachal Pradesh,1,1,0
14-05-2020,Maharashtra,25922,5547,975
14-05-2020,Gujarat,9267,3562,566
14-05-2020,Tamil Nadu,9227,2176,64
14-05-2020,Delhi,7998,2858,106
14-05-2020,Rajasthan,4328,2459,121
14-05-2020,Madhya Pradesh,4173,2004,232
14-05-2020,Uttar Pradesh,3729,1902,83
14-05-2020,West Bengal,2290,702,207
14-05-2020,Andhra Pradesh,2137,1142,47
14-05-2020,Punjab,1924,200,32
14-05-2020,Telangana,1367,940,34
14-05-2020,Jammu and Kashmir,971,466,11
14-05-2020,Karnataka,959,451,33
14-05-2020,Bihar,940,388,7
14-05-2020,Haryana,793,418,11
14-05-2020,Odisha,538,143,3
14-05-2020,Kerala,534,490,4
14-05-2020,Chandigarh,187,28,3
14-05-2020,Jharkhand,173,79,3
14-05-2020,Tripura,155,16,0
14-05-2020,Assam,80,39,2
14-05-2020,Uttarakhand,72,46,1
14-05-2020,Himachal Pradesh,66,39,2
14-05-2020,Chhattisgarh,59,55,0
14-05-2020,Ladakh,43,22,0
14-05-2020,Andaman and Nicobar Islands,33,33,0
14-05-2020,Meghalaya,13,10,1
14-05-2020,Puducherry,13,9,1
14-05-2020,Goa,7,7,0
14-05-2020,Manipur,2,2,0
14-05-2020,Mizoram,1,1,0
14-05-2020,Dadar Nagar Haveli,1,0,0
14-05-2020,Arunachal Pradesh,1,1,0
15-05-2020,Maharashtra,27524,6059,1019
15-05-2020,Tamil Nadu,9674,2240,66
15-05-2020,Gujarat,9591,3753,586
15-05-2020,Delhi,8470,3045,115
15-05-2020,Rajasthan,4534,2580,125
15-05-2020,Madhya Pradesh,4426,2171,237
15-05-2020,Uttar Pradesh,3902,2072,88
15-05-2020,West Bengal,2377,768,215
15-05-2020,Andhra Pradesh,2205,1192,48
15-05-2020,Punjab,1935,223,32
15-05-2020,Telangana,1414,950,34
15-05-2020,Bihar,994,411,7
15-05-2020,Karnataka,987,460,35
15-05-2020,Jammu and Kashmir,983,485,11
15-05-2020,Haryana,818,439,11
15-05-2020,Odisha,611,158,3
15-05-2020,Kerala,560,491,4
15-05-2020,Jharkhand,197,87,3
15-05-2020,Chandigarh,191,37,3
15-05-2020,Tripura,156,29,0
15-05-2020,Assam,87,39,2
15-05-2020,Uttarakhand,78,50,1
15-05-2020,Himachal Pradesh,74,39,2
15-05-2020,Chhattisgarh,60,56,0
15-05-2020,Ladakh,43,22,0
15-05-2020,Andaman and Nicobar Islands,33,33,0
15-05-2020,Goa,14,7,0
15-05-2020,Meghalaya,13,11,1
15-05-2020,Puducherry,13,9,1
15-05-2020,Manipur,3,2,0
15-05-2020,Mizoram,1,1,0
15-05-2020,Dadar Nagar Haveli,1,0,0
15-05-2020,Arunachal Pradesh,1,1,0
16-05-2020,Maharashtra,29100,6564,1068
16-05-2020,Tamil Nadu,10108,2599,71
16-05-2020,Gujarat,9931,4035,606
16-05-2020,Delhi,8895,3518,123
16-05-2020,Rajasthan,4727,2677,125
16-05-2020,Madhya Pradesh,4595,2283,239
16-05-2020,Uttar Pradesh,4057,2165,95
16-05-2020,West Bengal,2461,829,225
16-05-2020,Andhra Pradesh,2307,1252,48
16-05-2020,Punjab,1935,305,32
16-05-2020,Telangana,1454,959,34
16-05-2020,Karnataka,1056,480,36
16-05-2020,Bihar,1018,438,7
16-05-2020,Jammu and Kashmir,1013,513,11
16-05-2020,Haryana,818,439,11
16-05-2020,Odisha,672,166,3
16-05-2020,Kerala,576,492,4
16-05-2020,Jharkhand,203,87,3
16-05-2020,Chandigarh,191,37,3
16-05-2020,Tripura,156,42,0
16-05-2020,Assam,90,41,2
16-05-2020,Uttarakhand,82,51,1
16-05-2020,Himachal Pradesh,76,39,3
16-05-2020,Chhattisgarh,66,56,0
16-05-2020,Ladakh,43,22,0
16-05-2020,Andaman and Nicobar Islands,33,33,0
16-05-2020,Goa,15,7,0
16-05-2020,Meghalaya,13,11,1
16-05-2020,Puducherry,13,9,1
16-05-2020,Manipur,3,2,0
16-05-2020,Mizoram,1,1,0
16-05-2020,Dadar Nagar Haveli,1,0,0
16-05-2020,Arunachal Pradesh,1,1,0
17-05-2020,Maharashtra,30706,7088,1135
17-05-2020,Gujarat,10988,4308,625
17-05-2020,Tamil Nadu,10585,3538,74
17-05-2020,Delhi,9333,3926,129
17-05-2020,Rajasthan,4960,2839,126
17-05-2020,Madhya Pradesh,4789,2315,243
17-05-2020,Uttar Pradesh,4258,2441,104
17-05-2020,West Bengal,2576,872,232
17-05-2020,Andhra Pradesh,2355,1353,49
17-05-2020,Punjab,1946,1257,32
17-05-2020,Telangana,1509,971,34
17-05-2020,Bihar,1179,453,7
17-05-2020,Jammu and Kashmir,1121,542,12
17-05-2020,Karnataka,1092,496,36
17-05-2020,Haryana,887,514,13
17-05-2020,Odisha,737,196,3
17-05-2020,Kerala,587,495,4
17-05-2020,Jharkhand,217,113,3
17-05-2020,Chandigarh,191,51,3
17-05-2020,Tripura,167,64,0
17-05-2020,Assam,92,41,2
17-05-2020,Uttarakhand,88,51,1
17-05-2020,Himachal Pradesh,78,43,3
17-05-2020,Chhattisgarh,67,56,0
17-05-2020,Ladakh,43,22,0
17-05-2020,Andaman and Nicobar Islands,33,33,0
17-05-2020,Goa,17,7,0
17-05-2020,Meghalaya,13,11,1
17-05-2020,Puducherry,13,9,1
17-05-2020,Manipur,7,2,0
17-05-2020,Mizoram,1,1,0
17-05-2020,Dadar Nagar Haveli,1,0,0
17-05-2020,Arunachal Pradesh,1,1,0
18-05-2020,Maharashtra,33053,7688,1198
18-05-2020,Gujarat,11379,4499,659
18-05-2020,Tamil Nadu,11224,4172,78
18-05-2020,Delhi,10054,4485,160
18-05-2020,Rajasthan,5202,2992,131
18-05-2020,Madhya Pradesh,4977,2403,248
18-05-2020,Uttar Pradesh,4259,2441,104
18-05-2020,West Bengal,2677,959,238
18-05-2020,Andhra Pradesh,2407,1456,50
18-05-2020,Punjab,1964,1366,35
18-05-2020,Telangana,1551,992,34
18-05-2020,Bihar,1262,475,8
18-05-2020,Jammu and Kashmir,1183,575,13
18-05-2020,Karnataka,1147,509,37
18-05-2020,Haryana,910,562,14
18-05-2020,Odisha,828,220,4
18-05-2020,Kerala,601,497,4
18-05-2020,Jharkhand,223,113,3
18-05-2020,Chandigarh,191,51,3
18-05-2020,Tripura,167,85,0
18-05-2020,Assam,101,41,2
18-05-2020,Uttarakhand,92,52,1
18-05-2020,Chhattisgarh,86,59,0
18-05-2020,Himachal Pradesh,80,44,3
18-05-2020,Ladakh,43,24,0
18-05-2020,Andaman and Nicobar Islands,33,33,0
18-05-2020,Goa,29,7,0
18-05-2020,Meghalaya,13,11,1
18-05-2020,Puducherry,13,9,1
18-05-2020,Manipur,7,2,0
18-05-2020,Mizoram,1,1,0
18-05-2020,Dadar Nagar Haveli,1,0,0
18-05-2020,Arunachal Pradesh,1,1,0
19-05-2020,Maharashtra,35058,8437,1249
19-05-2020,Tamil Nadu,11760,4406,81
19-05-2020,Gujarat,11745,4804,694
19-05-2020,Delhi,10054,4485,168
19-05-2020,Rajasthan,5507,3218,138
19-05-2020,Madhya Pradesh,5236,2435,252
19-05-2020,Uttar Pradesh,4605,2783,118
19-05-2020,West Bengal,2825,1006,244
19-05-2020,Andhra Pradesh,2474,1552,50
19-05-2020,Punjab,1980,1547,37
19-05-2020,Telangana,1597,1000,35
19-05-2020,Bihar,1391,494,9
19-05-2020,Jammu and Kashmir,1289,609,15
19-05-2020,Karnataka,1246,530,37
19-05-2020,Haryana,928,598,14
19-05-2020,Odisha,876,220,4
19-05-2020,Kerala,630,497,4
19-05-2020,Jharkhand,223,113,3
19-05-2020,Chandigarh,196,54,3
19-05-2020,Tripura,167,85,0
19-05-2020,Assam,107,41,2
19-05-2020,Chhattisgarh,93,59,0
19-05-2020,Uttarakhand,93,52,1
19-05-2020,Himachal Pradesh,90,44,3
19-05-2020,Ladakh,43,41,0
19-05-2020,Goa,38,7,0
19-05-2020,Andaman and Nicobar Islands,33,33,0
19-05-2020,Puducherry,18,9,1
19-05-2020,Meghalaya,13,11,1
19-05-2020,Manipur,7,2,0
19-05-2020,Mizoram,1,1,0
19-05-2020,Dadar Nagar Haveli,1,0,0
19-05-2020,Arunachal Pradesh,1,1,0
20-05-2020,Maharashtra,37136,9639,1325
20-05-2020,Tamil Nadu,12448,4895,84
20-05-2020,Gujarat,12140,5043,719
20-05-2020,Delhi,10554,4750,168
20-05-2020,Rajasthan,5845,3337,143
20-05-2020,Madhya Pradesh,5465,2630,258
20-05-2020,Uttar Pradesh,4926,2918,123
20-05-2020,West Bengal,2961,1074,250
20-05-2020,Andhra Pradesh,2532,1621,52
20-05-2020,Punjab,2002,1642,38
20-05-2020,Telangana,1634,1010,38
20-05-2020,Bihar,1498,534,9
20-05-2020,Karnataka,1397,544,40
20-05-2020,Jammu and Kashmir,1317,653,17
20-05-2020,Odisha,978,277,5
20-05-2020,Haryana,964,627,14
